study_word,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
vase,_p_a_d_,0,[],[],[],[],[],[],[],999103,1,2022-10-13_18h45.22.547,Word Priming Experiment,2022.2.4,60.00098953
tiger,c_s_h_o_n,cushion,[-0.0033333333333333335],[-0.30444444444444446],[1],[0],[0],[5.307316222984809],['text_3'],999103,1,2022-10-13_18h45.22.547,Word Priming Experiment,2022.2.4,60.00098953
book,_oo_,book,[-0.02],[-0.2877777777777778],[1],[0],[0],[2.8523656260222197],['text_3'],999103,1,2022-10-13_18h45.22.547,Word Priming Experiment,2022.2.4,60.00098953
cushion,_ea_o_,0,"[-0.012222222222222223, 0.0077777777777777776, 0.0077777777777777776, 0.015555555555555555]","[-0.16, -0.27, -0.27, -0.3]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[5.7446870770072564, 7.01523704896681, 7.616766697959974, 8.301912322989665]",['text_3'],999103,1,2022-10-13_18h45.22.547,Word Priming Experiment,2022.2.4,60.00098953
piano,c_m_r_,camera,"[0.2733333333333333, -0.017777777777777778]","[0.5, -0.29]","[1, 1]","[0, 0]","[0, 0]","[2.803567496011965, 6.463616502995137]",['text_3'],999103,1,2022-10-13_18h45.22.547,Word Priming Experiment,2022.2.4,60.00098953
,o_a_n_e,orange,[0.0],[-0.31],[1],[0],[0],[7.365059616044164],['text_3'],999103,1,2022-10-13_18h45.22.547,Word Priming Experiment,2022.2.4,60.00098953
,_o_s_,0,[0.0],[-0.31],[1],[0],[0],[8.198764330998529],['text_3'],999103,1,2022-10-13_18h45.22.547,Word Priming Experiment,2022.2.4,60.00098953
,_ia_n_,piano,[0.016666666666666666],[-0.29888888888888887],[1],[0],[0],[3.6378034250228666],['text_3'],999103,1,2022-10-13_18h45.22.547,Word Priming Experiment,2022.2.4,60.00098953
,_a_e,vase,[0.014444444444444444],[-0.29888888888888887],[1],[0],[0],[6.64845239603892],['text_3'],999103,1,2022-10-13_18h45.22.547,Word Priming Experiment,2022.2.4,60.00098953
,t_g_r,tiger,[-0.024444444444444446],[-0.3088888888888889],[1],[0],[0],[2.28499826596817],['text_3'],999103,1,2022-10-13_18h45.22.547,Word Priming Experiment,2022.2.4,60.00098953
,,,,,,,,,,,,,,,
,,,Proportion of hit from study list,5,1,,,,,,,,,,
,,,Proportion of hit for non-primed words,2,0.4,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,prime score,,0.6,,,,,,,,,,